ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
2,1,17/05/2020 09:07,17/05/2020 09:07,"<!-- wp:paragraph -->
<p>This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:</p>
<!-- /wp:paragraph -->

<!-- wp:quote -->
<blockquote class=""wp-block-quote""><p>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my website. I live in Los Angeles, have a great dog named Jack, and I like pi&#241;a coladas. (And gettin' caught in the rain.)</p></blockquote>
<!-- /wp:quote -->

<!-- wp:paragraph -->
<p>...or something like this:</p>
<!-- /wp:paragraph -->

<!-- wp:quote -->
<blockquote class=""wp-block-quote""><p>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</p></blockquote>
<!-- /wp:quote -->

<!-- wp:paragraph -->
<p>As a new WordPress user, you should go to <a href=""http://www.fionamacneill.co.uk/blog-archive/wp-admin/"">your dashboard</a> to delete this page and create new pages for your content. Have fun!</p>
<!-- /wp:paragraph -->",Sample Page,,publish,closed,open,,sample-page,,,17/05/2020 09:07,17/05/2020 09:07,,0,http://www.fionamacneill.co.uk/blog-archive/?page_id=2,0,page,,0
3,1,17/05/2020 09:07,17/05/2020 09:07,"<!-- wp:heading --><h2>Who we are</h2><!-- /wp:heading --><!-- wp:paragraph --><p>Our website address is: http://www.fionamacneill.co.uk/blog-archive.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>What personal data we collect and why we collect it</h2><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>Comments</h3><!-- /wp:heading --><!-- wp:paragraph --><p>When visitors leave comments on the site we collect the data shown in the comments form, and also the visitor&#8217;s IP address and browser user agent string to help spam detection.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>An anonymized string created from your email address (also called a hash) may be provided to the Gravatar service to see if you are using it. The Gravatar service privacy policy is available here: https://automattic.com/privacy/. After approval of your comment, your profile picture is visible to the public in the context of your comment.</p><!-- /wp:paragraph --><!-- wp:heading {""level"":3} --><h3>Media</h3><!-- /wp:heading --><!-- wp:paragraph --><p>If you upload images to the website, you should avoid uploading images with embedded location data (EXIF GPS) included. Visitors to the website can download and extract any location data from images on the website.</p><!-- /wp:paragraph --><!-- wp:heading {""level"":3} --><h3>Contact forms</h3><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>Cookies</h3><!-- /wp:heading --><!-- wp:paragraph --><p>If you leave a comment on our site you may opt-in to saving your name, email address and website in cookies. These are for your convenience so that you do not have to fill in your details again when you leave another comment. These cookies will last for one year.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>If you visit our login page, we will set a temporary cookie to determine if your browser accepts cookies. This cookie contains no personal data and is discarded when you close your browser.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>When you log in, we will also set up several cookies to save your login information and your screen display choices. Login cookies last for two days, and screen options cookies last for a year. If you select &quot;Remember Me&quot;, your login will persist for two weeks. If you log out of your account, the login cookies will be removed.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>If you edit or publish an article, an additional cookie will be saved in your browser. This cookie includes no personal data and simply indicates the post ID of the article you just edited. It expires after 1 day.</p><!-- /wp:paragraph --><!-- wp:heading {""level"":3} --><h3>Embedded content from other websites</h3><!-- /wp:heading --><!-- wp:paragraph --><p>Articles on this site may include embedded content (e.g. videos, images, articles, etc.). Embedded content from other websites behaves in the exact same way as if the visitor has visited the other website.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website.</p><!-- /wp:paragraph --><!-- wp:heading {""level"":3} --><h3>Analytics</h3><!-- /wp:heading --><!-- wp:heading --><h2>Who we share your data with</h2><!-- /wp:heading --><!-- wp:heading --><h2>How long we retain your data</h2><!-- /wp:heading --><!-- wp:paragraph --><p>If you leave a comment, the comment and its metadata are retained indefinitely. This is so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>For users that register on our website (if any), we also store the personal information they provide in their user profile. All users can see, edit, or delete their personal information at any time (except they cannot change their username). Website administrators can also see and edit that information.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>What rights you have over your data</h2><!-- /wp:heading --><!-- wp:paragraph --><p>If you have an account on this site, or have left comments, you can request to receive an exported file of the personal data we hold about you, including any data you have provided to us. You can also request that we erase any personal data we hold about you. This does not include any data we are obliged to keep for administrative, legal, or security purposes.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Where we send your data</h2><!-- /wp:heading --><!-- wp:paragraph --><p>Visitor comments may be checked through an automated spam detection service.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Your contact information</h2><!-- /wp:heading --><!-- wp:heading --><h2>Additional information</h2><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>How we protect your data</h3><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>What data breach procedures we have in place</h3><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>What third parties we receive data from</h3><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>What automated decision making and/or profiling we do with user data</h3><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>Industry regulatory disclosure requirements</h3><!-- /wp:heading -->",Privacy Policy,,draft,closed,open,,privacy-policy,,,17/05/2020 09:07,17/05/2020 09:07,,0,http://www.fionamacneill.co.uk/blog-archive/?page_id=3,0,page,,0
1084,1,14/06/2020 13:39,14/06/2020 12:39,"<!-- wp:heading -->
<h2>Background</h2>
<!-- /wp:heading -->

<p>This post is a personal reflection in response to a question posed by <a href=""https://twitter.com/TomEduTrainer"" target=""_blank"" rel=""noopener noreferrer"">Tom Langston</a> on Twitter as a retweet of <a href=""https://twitter.com/CleggDr"" target=""_blank"" rel=""noopener noreferrer"">Dr Andy Clegg</a>. Observing that other individuals tagged in the tweet have more involvement in policy and management, I was both humbled and interested in why my opinion might be sought. Deliberately I have chosen not to read the answers of others, such as <a href=""https://twitter.com/jamesclay"">@jamesclay</a>'s <a href=""https://elearningstuff.net/2020/06/05/what-have-we-learnt/"" target=""_blank"" rel=""noopener noreferrer"">blog post</a>, as I wanted to provide my own perspective. I shall be sure to read that after-the-fact of course and thank you for asking Tom!</p>
<p>To provide some context I have been working as a learning technologist for almost 10 years and my perspective comes from that space: the direct solution space. Although I am occasionally consulted on policy decisions, I am rarely a decision maker and I do not manage people, I do manage systems as a product owner of sorts. In addition to my learning technologist 'hat', I am an accessibility advocate and a trained User Experience researcher. I am passionate about inclusive design, moral transparency and pragmatic teaching and learning.</p>

<!-- wp:core-embed/twitter {""url"":""https://twitter.com/TomEduTrainer/status/1268537831095443456?s=20"",""type"":""rich"",""providerNameSlug"":""twitter"",""className"":""""} -->
<figure class=""wp-block-embed-twitter wp-block-embed is-type-rich is-provider-twitter""><div class=""wp-block-embed__wrapper"">
https://twitter.com/TomEduTrainer/status/1268537831095443456?s=20
</div></figure>
<!-- /wp:core-embed/twitter -->

<!-- wp:heading -->
<h2>Entering lockdown</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>When it became clear that lockdown would be our new reality; decisions had to be made and actioned rapidly. It also became clear that learning technology expertise was a valuable commodity. As a discipline we were suddenly placed at the centre of supporting the continuation of teaching practice, as opposed to our previous position as the grand adviser-integrator-augmenters. I praise my own managers during the lead-up to and final situation of lockdown, who made quick and clear decisions with regard to which tools would be used, and for what tasks in the emergency teaching situation.</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2>Observations during lockdown</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>I am going to define these as loose observations at this point as I do not yet have the benefit of hindsight. However, I do believe it is important to record your own thinking at a given point in time even if, ultimately circumstances end up proving you wrong.</p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":3} -->
<h3>The ultimate prioritisation list</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>An intense re-focusing meant that we were able to work with a clearly defined technical toolset in an efficient way. We also shifted to a more agile CMS in the interest of getting information out quickly via targetted microsites (Wordpress Blogs). Under normal circumstances the requirement to use standard platforms and administrative processes take precedence, but there was no time for that. As a consequence within a short space of time a relevant, fresh and 'living' set of resources were built to support teaching as it exists right 'now'. </p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":3} -->
<h3>Sharing is caring</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>The aforementioned set of resources, are out in the world as open educational resources which feels more important than ever in the time of COVID-19. When my Frequently Asked Questions for Microsoft Teams could make a difference for a primary school teacher without a learning technologist - that means a lot to me professionally and personally. This is why I got into this field and over recent years I have noticed a growing tendency for learning technologies information to be squirrelled away. Hopefully this trend may start to wane moving forward. On a technical level, a small but important innovation on our information site was adding the power of ad-free Google search so that the answers to questions could be found more easily.</p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":3} -->
<h3>Answering the right questions</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Referring back to my Frequently Asked Questions, that is not to say that I myself am reinventing the wheel, I am linking to materials which technology vendors such as Microsoft and Blackboard have provided. I already valued these resources which have improved in quantity and quality over recent years. However, a key role of a learning technologist is to know how to contextualise these answers by answering localised questions. Essentially joining up the dots between the question asked, the language used to ask the question, and the language that technology uses to describe itself. So we add grand adviser-integrator-augmenter-<em>translators</em><strong> </strong>to our list. I think now more than ever I value and acknowledge the open resources provided by vendors and other universities across the world.</p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":3} -->
<h3>A new conception of time</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Due to the sheer volume of work coming in for a brief time the shape of my job changed. I was in a sort of rapid creation mode during the first three weeks of lockdown. This 'mode' was at turns the most productive and stressful experience of my learning technologies career and was certainly more akin to the adrenaline highs of my previous vocation as a artist and curator; like the feeling of the hours leading up to an opening night. This productivity was supported by a conscious filter where my clients knew I was busy so instead of asking me a question in the first instance, would attempt to find the answer on their own or sought support centrally from a service desk. This was a new situation for me. I like being known as a solutions person, a go-to person, but it suddenly dawned on me that because I am available and take pride in providing a quality service sometimes this means that my own productivity and wellbeing are put on the back-burner. With fewer help calls and more efficient means of answering the questions that were coming in (I'll come to that later), I suddenly had the mental focus I needed to develop two new teaching sessions. I had time free of interruption to think hard about showcasing best practice in the session designs and this was a wonderful feeling. Finally I had some head-space and because I was producing enough work to meet my own self-imposed goals, I got to have lunches away from my desk for the first time in years. <br><br>There is a piece of learning here for me to take away and ruminate on. My role has since reverted back to something more reactive on the day-to-day. However, I am going to consider how I can reach a better state of equilibrium so that I can have blocks of work free of interruption. This tension has always existed in my work, between proactive and reactive, but I do think that in the longer term a project-based workflow more akin to development work, with Agile<sup><a href=""#agile"">1</a></sup> sprints accompanied by service models which support fewer interruptions may be positive. When you are in a service role there can be an intense feeling of guilt when you have taken an hour to work on workshop preparation and have 30 emails - even 'quick' questions at this volume consume work time.</p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":3} -->
<h3>Chat is my new best friend</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Thinking of those 'quick' questions, I am pleased that HE is finally starting to adopt chat-based tools. I had been using <a rel=""noreferrer noopener"" href=""https://slack.com/intl/en-gb/"" target=""_blank"">Slack</a> for User Experience (UX) professional networking for a number of years and looked forward to the day when a similar solution would be part of my Learning <em>Experience</em> work. COVID-19 has hastened this change in work practice and although only a small numbers of my clients use it so far, where it is used it is far more efficient. The tendency to write emails-as-treatise in academia is still quite prevalent and when I have found myself sliding into this habit (e.g. &gt;10mins composing an email), I have saved the email as a note and called the person instead. If you can do this too, your learning technologist will thank you (trust me!). Also as a dyslexic, I have often been concerned about how I perceived via the medium of email. Emails end up being more like letters, language and vocabulary can be judged. Furthermore, my tendency to forget words from sentences as my brain works faster than my personal language centres has been a perpetual source of self-critique. With chat I can write the answer with less fear and can always correct a spelling or add a word after the fact. It makes solutions faster and language less precious.</p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":3} -->
<h3>Resourcefulness vs. idiosyncrasy</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>One of the downsides users sourcing of their own solutions is that the local setup does not always match the technology developer's ideal. For example, folks find exciting help guides which suggest that they can schedule MS Teams meetings via their calendar. These features are not available due to differences in the local setup and this means that some of a learning technologist's job is about tempering expectations. It does point to the end of branding and idiosyncrasy. To support more as learning technologists we potentially need to have fewer home-grown elements and this means that branding the VLE/ePortfolio/[insert eLearning tool here] is not as sustainable as it was in the past. This is also true due to the frequency of updates. Vendors are far more responsive to suggestions from users and interfaces change at a steady rate making it tricky to stay on-top of help documentation especially when in a continuous delivery, Software-as-a-Service model.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>On the notion of home-grown, I would add 'fudger' to my definition of a learning technologist: adviser-integrator-augmenter-translator-<em>fudger</em>. A learning technologist has MacGyver abilities for sure, <a rel=""noreferrer noopener"" href=""https://er.educause.edu/articles/2020/3/the-difference-between-emergency-remote-teaching-and-online-learning"" target=""_blank"">Hodges <em>et al.</em> (2020)</a> also make this analogy, to transmute existing technologies to fit a need for which the technology was not originally designed. At any given time I am managing and sustaining so many of these 'solutions'. With the increased demand for my services, the 'paper clips' have started to slip and I have come to realise that this is hidden work which could and should be managed using specialist tools. All of these <em>fudges</em> might actually be more expensive in terms of time expenditure than working on a more holistic solution. Furthermore when <em>fudges</em> are applied in the learning space, rather than say an administrative space, they can lack digital authenticity as in using a tool designed for one thing as another. The experience of using such a solution may differ from students' broader experiences of technology and cause a level of dissatisfaction; a square peg. It is easier to smooth these things over when you are teaching in-person, harder when the interaction is front-and-centre and it doesn't <em>feel</em> like the right solution.</p>
<!-- /wp:paragraph -->

<!-- wp:core-embed/youtube {""url"":""https://youtu.be/09UlB17cgKw?t=110"",""type"":""video"",""providerNameSlug"":""youtube"",""className"":""wp-embed-aspect-4-3 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-4-3 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtu.be/09UlB17cgKw?t=110
</div><figcaption>A illustrative clip of the 'paper clip' in the CBS show MacGyver</figcaption></figure>
<!-- /wp:core-embed/youtube -->

<!-- wp:heading {""level"":3} -->
<h3>Online learning?</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Up until recently, I quoted the excellent article in the <a href=""https://er.educause.edu/articles/2020/3/the-difference-between-emergency-remote-teaching-and-online-learning""><em>Educause Review</em> by Hodges <em>et al.</em> (2020)</a> and would say that we have been ""emergency remote teaching"" rather than producing online learning. Having said that, this is now shifting in a very exciting way, and the hybridised designs that I am starting to see for future teaching demonstrate astounding progress in a short time. Part of the challenge of redesign of teaching and delivery is that there is no longer a default. The defaults before were: just do whatever it is in-person, or print it out and give it to people. I cannot tell you how many times I advised on technology and even helped to setup a solution to hear that the person got worried and returned to the 'safe' solution of in-person oft to never revisit the technology again. This is no longer an option and it <em>is </em>scary. The closest that we have to a default is the VLE and sometimes I have to remind people that it exists amongst all the <em>new </em>and shiny; it is our dependable pal.</p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":3} -->
<h3>Experience at the picnic blanket level</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Suddenly interactions and micro-interactions are gaining importance and this is a very good thing. I have been using Charles and Ray Eames <em>Powers of Ten </em>video for IBM (1977) as an analogy for this in teaching. Suddenly the focus has changed, we are at the picnic blanket level. The clicks are important, the minutes are important in the hours of a day of teaching content. This is key because although as educators we cannot compete with the attention-to-detail that UI/UX designers apply to micro-interactions in software applications, but like designers we are creating an experience and every interaction is part of that experience. </p>
<!-- /wp:paragraph -->

<!-- wp:core-embed/youtube {""url"":""https://youtu.be/Ww4gYNrOkkg?t=15"",""type"":""video"",""providerNameSlug"":""youtube"",""className"":""wp-embed-aspect-4-3 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-4-3 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://youtu.be/Ww4gYNrOkkg?t=15
</div><figcaption>Eames &amp; Eames, <em>Powers of Ten </em>video for IBM (1977)</figcaption></figure>
<!-- /wp:core-embed/youtube -->

<!-- wp:heading -->
<h2>The Corridor Effect™️</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>The Corridor Effect™️ may not be the final title of this phenomena, I am still considering it, because really it is about the lack of corridors. Think about how much information we glean from colleagues in corridors, how those encounters build social cohesion and provide other perspectives and most importantly differing interpretations of information. Right now we are all in our own bubbles and this can profoundly affect some students who find locating and prioritising information difficult. They may have relied on the organisation and perception of others to stay up-to-date before. That is no longer an option, unless we build in these opportunities. Discussion boards, encouragement of study groups, specific support groups for some students; all of these approaches and more can be used and must be used. The consequence of not doing so means that the gap between those who understand the rules of academic game and those who are still learning how to play will exponentially grow.</p>
<!-- /wp:paragraph -->

<!-- wp:image {""id"":1097,""width"":308,""height"":462,""sizeSlug"":""large"",""className"":""is-style-rounded""} -->
<figure class=""wp-block-image size-large is-resized is-style-rounded""><img src=""http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2020/06/adrien-olichon-aIQkLE5bqRk-unsplash.jpg"" alt=""photo of a corridor in a modern building with a brigh orange wall on the right"" class=""wp-image-1097"" width=""308"" height=""462""/><figcaption>Photo by <a href=""https://unsplash.com/@adrienolichon?utm_source=unsplash&amp;utm_medium=referral&amp;utm_content=creditCopyText"" target=""_blank"" rel=""noreferrer noopener"">Adrien Olichon</a> on <a href=""https://unsplash.com/s/photos/corridor?utm_source=unsplash&amp;utm_medium=referral&amp;utm_content=creditCopyText"" target=""_blank"" rel=""noreferrer noopener"">Unsplash</a></figcaption></figure>
<!-- /wp:image -->

<!-- wp:heading {""level"":3} -->
<h3>Teaching with empathy<sup><a href=""#empathy"">2</a></sup></h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>I think that as educators, now more than ever we need to think deeply about the experience of engaging with learning as a journey. For us, we may have travelled this particular learning path many times; we may have taught the same content over successive iterations of a course/module. For the students it is most likely their first time and add to that the current personal, professional and societal challenges and undoubtedly this is a big ask. I have seen some amazing examples of empathetic, yet rigorous, teaching over the past few months and despite the challenges currently facing Higher Education internationally, this gives me hope.</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2>Conclusion</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>This post is an unabashed summary of my ideas, perhaps fledging ideas, and I do not doubt that these ideas have surfaced elsewhere in educational theory. However, I feel that sometimes writing from experience and considering how something exists and feels at a given time is a valuable endeavour and I plan to test and revisit these notions in the months-to-come. Thank you for reading.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":3} -->
<h3>Notes</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p><sup>1</sup><a rel=""noreferrer noopener"" href=""https://en.wikipedia.org/wiki/Agile_software_development"" target=""_blank"">Agile</a> is not a panacea, it is imperfect. However, I have had a glimpse of a new world of productivity and personally believe that problems should be viewed as a dataset rather than our raison d'etre as a profession. We will not be able to respond to the ongoing demands of this crisis if we are stretched in too many different directions.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><sup>2</sup>Empathy is a term that has been overused in design, but it is a term which has never been more relevant when used in its truest sense. Empty empathy when used in a purely semantic sense is worse than none. True empathy is about taking time to think deeply about the path as it is travelled by others. For more on this, I highly recommend reading the designer, <a rel=""noreferrer noopener"" href=""https://indiyoung.com/pubs-apps/"" target=""_blank"">Indi Young's writing</a>.</p>
<!-- /wp:paragraph -->",COVID-19 three months in: what have we learnt?,,publish,closed,open,,covid-19-three-months-in-what-have-learnt,,"
https://elearningstuff.net/2020/06/05/what-have-we-learnt/",14/06/2020 18:58,14/06/2020 17:58,,0,http://www.fionamacneill.co.uk/blog-archive/?p=1084,0,post,,0
26,1,07/09/2014 20:28,07/09/2014 20:28,,1bluefireforipad,,inherit,open,open,,1bluefireforipad,,,07/09/2014 20:28,07/09/2014 20:28,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/1bluefireforipad-z3wr7m.jpg,0,attachment,image/jpeg,0
28,1,07/09/2014 20:40,07/09/2014 20:40,,2feedlyforipad,,inherit,open,open,,2feedlyforipad,,,07/09/2014 20:40,07/09/2014 20:40,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/2feedlyforipad-2gd4j79.jpg,0,attachment,image/jpeg,0
29,1,07/09/2014 20:50,07/09/2014 20:50,,3goodreaderforiPad,,inherit,open,open,,3goodreaderforipad,,,07/09/2014 20:50,07/09/2014 20:50,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/3goodreaderforiPad-nt944e.jpg,0,attachment,image/jpeg,0
30,1,07/09/2014 20:57,07/09/2014 20:57,,4kindleforipad,,inherit,open,open,,4kindleforipad,,,07/09/2014 20:57,07/09/2014 20:57,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/4kindleforipad-1om7gh1.jpg,0,attachment,image/jpeg,0
32,1,07/09/2014 21:05,07/09/2014 21:05,,5indexcardforiPad,,inherit,open,open,,5indexcardforipad,,,07/09/2014 21:05,07/09/2014 21:05,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/5indexcardforiPad-xwgozb.jpg,0,attachment,image/jpeg,0
33,1,07/09/2014 21:17,07/09/2014 21:17,,6koboforipad,,inherit,open,open,,6koboforipad,,,07/09/2014 21:17,07/09/2014 21:17,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/6koboforipad-1ttxj3x.jpg,0,attachment,image/jpeg,0
34,1,07/09/2014 21:32,07/09/2014 21:32,,7MSOneNoteforiPad,,inherit,open,open,,7msonenoteforipad,,,07/09/2014 21:32,07/09/2014 21:32,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/7MSOneNoteforiPad-vew2dp.jpeg,0,attachment,image/jpeg,0
